0.580;1.125
0.589;1.108
0.587;1.132
0.572;1.132
0.585;1.103
0.589;1.058
0.592;1.051
0.593;1.051
0.576;1.079
0.594;1.090
0.592;1.098
0.581;1.152
0.563;1.137
0.600;1.083
0.579;1.070
0.608;1.042
0.586;1.075
0.580;1.065
0.588;1.024
0.577;1.041
0.584;1.007
0.590;1.018
0.591;1.031
0.589;1.081
0.582;1.060
0.600;1.011
0.574;1.112
0.612;1.080
0.587;1.138
0.589;1.063
0.591;1.073
0.588;1.046
0.571;1.072
0.604;1.005
0.592;1.006
0.607;1.004
0.603;1.025
0.578;1.065
0.579;1.053
0.606;1.038
0.592;1.082
0.609;1.037
0.586;1.083
0.601;1.133
0.577;1.115
0.595;1.030
0.596;1.041
0.588;1.021
0.592;0.996
0.583;1.043
0.597;1.024
0.572;1.046
0.594;1.049
0.600;1.039
0.616;1.027
0.584;1.047
0.603;1.033
0.586;1.076
0.640;0.988
0.587;0.777
0.242;1.921
0.168;2.562
0.236;2.503
0.061;4.080
0.054;4.174
0.048;4.282
0.077;4.116
0.069;4.196
0.047;4.476
0.034;4.511
0.050;4.654
0.059;4.372
0.058;4.549
0.087;4.167
0.121;3.463
0.149;3.562
0.143;3.269
0.136;3.154
0.186;3.119
0.210;2.924
0.225;2.965
0.288;2.806
0.192;2.976
0.275;2.337
0.231;2.758
0.243;2.612
0.278;2.534
0.270;2.906
0.306;2.377
0.291;2.367
0.304;2.480
0.306;2.307
0.342;2.233
0.324;2.375
0.316;2.163
0.302;2.395
0.328;2.152
0.340;2.087
0.302;2.025
0.333;2.028
0.348;2.036
0.329;2.053
0.338;2.139
0.349;2.054
0.322;2.169
0.330;2.132
0.371;2.010
0.329;2.012
0.376;2.014
0.372;2.084
0.347;1.942
0.395;1.749
0.370;1.793
0.365;1.861
0.378;1.931
0.358;2.111
0.397;1.718
0.346;1.802
0.373;1.673
0.369;1.711
0.378;1.696
0.384;1.644
0.426;1.603
0.369;1.791
0.419;1.666
0.424;1.663
0.414;1.758
0.434;1.649
0.432;1.646
0.457;1.565
0.449;1.472
0.460;1.491
0.471;1.500
0.470;1.430
0.467;1.537
0.465;1.506
0.484;1.387
0.461;1.437
0.477;1.380
0.473;1.452
0.502;1.346
0.475;1.463
0.488;1.491
0.496;1.469
0.480;1.435
0.503;1.360
0.495;1.376
0.523;1.307
0.507;1.264
0.500;1.266
0.494;1.286
0.507;1.265
0.530;1.232
0.521;1.272
0.516;1.330
0.515;1.309
0.532;1.308
0.532;1.249
0.543;1.238
0.524;1.277
0.539;1.268
0.527;1.265
0.552;1.176
0.533;1.303
0.535;1.272
0.517;1.299
0.543;1.220
0.539;1.159
0.524;1.216
0.556;1.165
0.513;1.283
0.552;1.248
0.530;1.289
0.562;1.177
0.517;1.350
0.538;1.300
0.575;1.218
0.547;1.236
0.550;1.246
0.563;1.145
0.553;1.116
0.553;1.129
0.567;1.084
0.578;1.105
0.555;1.153
0.557;1.159
0.577;1.139
0.554;1.162
0.585;1.071
0.565;1.153
0.567;1.197
0.574;1.144
0.568;1.173
0.567;1.174
0.573;1.130
0.602;1.056
0.571;1.093
0.573;1.087
0.589;1.057
0.599;1.056
0.582;1.116
0.582;1.112
0.590;1.135
0.573;1.131
0.586;1.100
0.589;1.056
0.591;1.054
0.592;1.045
0.580;1.081
0.591;1.089
0.589;1.101
0.580;1.156
0.562;1.138
0.599;1.089
0.581;1.070
0.605;1.034
0.586;1.071
0.581;1.069
0.585;1.032
0.580;1.039
0.585;1.015
0.589;1.018
0.590;1.028
0.592;1.077
0.584;1.061
0.605;1.008
0.577;1.102
0.610;1.077
0.586;1.136
0.591;1.062
0.588;1.085
0.585;1.045
